price,rooms,area,state,facades_number,is_furnished,has_terrace,has_garden,has_swimming_pool,has_equipped_kitchen,build_year,cellar,garage,kitchen_type,water_softener,bathrooms,solar_panels,heating_type,heat_pump,air_conditioning,alarm,parking_places_outdoor,garden_surface,garden_orientation,terrace_surface,terrace_orientation,land_surface,sewer_connection,running_water,primary_energy_consumption,certification_electrical_installation,certification_gasoil_tank,planning_permission_granted,preemption_right,demarcated_flooding_area,surroundings_protected,opportunity_for_professional,wash_room,leased,living_room_surface,attic,glazing_type,elevator,entry_phone,security_door,access_disabled,apartement_floor,front_facade_orientation,number_floors,toilets,cadastral_income,vat,property_subtype,postal_code,property_type,area_missing,build_year_missing,garden_surface_missing,terrace_surface_missing,land_surface_missing,primary_energy_consumption_missing,living_room_surface_missing,cadastral_income_missing
274900.0,13,80.0,4,4,0,0,1,2,1,1949.0,2,0,2,2,0,1,3,2,2,2,0,45.0,1,14.0,1,405.0,2,2,103.0,2,0,2,2,0,2,2,0,0,32.0,2,1,0,2,2,2,27,0,20,0,597.0,1,9,2100,0,0,0,0,1,1,0,1,0
215000.0,13,107.0,2,4,2,1,0,2,1,1974.0,2,0,2,2,0,2,6,2,0,0,0,200.0,1,18.0,1,405.0,2,2,0.0,0,0,2,0,0,0,2,0,0,32.0,2,0,1,2,2,0,21,0,30,0,800.0,1,0,2140,0,0,0,1,0,1,0,1,1
219000.0,13,64.0,4,1,0,1,0,2,1,1965.0,2,1,2,2,0,2,3,2,2,2,0,200.0,1,2.0,1,405.0,2,1,345.0,2,0,2,1,0,2,2,0,0,32.0,2,1,0,2,2,2,21,0,25,0,629.0,1,0,2060,0,0,0,1,0,1,0,1,0
325000.0,13,105.0,2,4,0,1,0,2,1,1960.0,2,1,2,2,0,2,3,2,2,2,0,200.0,1,3.0,1,405.0,2,1,121.0,2,0,2,0,0,2,2,0,0,25.0,2,1,0,2,2,2,15,0,30,0,669.0,1,0,2050,0,0,0,1,0,1,0,0,0
519000.0,13,125.0,2,4,2,1,0,2,1,1961.0,2,1,2,2,7,2,6,2,1,0,0,200.0,1,20.0,1,405.0,2,2,0.0,0,0,2,0,0,0,2,0,0,32.0,2,0,1,2,2,0,27,0,30,0,800.0,1,0,2600,0,0,0,1,0,1,0,1,1
310000.0,1,55.0,4,1,0,1,0,2,1,2011.0,2,1,2,2,0,2,3,2,2,2,0,200.0,1,3.0,1,405.0,2,1,107.0,2,0,2,0,0,2,2,0,0,32.0,2,1,0,2,2,2,1,0,11,0,800.0,1,0,2018,0,0,1,1,0,1,0,1,1
299000.0,1,66.0,4,1,0,1,0,2,1,1946.0,2,1,2,2,0,2,3,2,2,2,0,200.0,1,12.0,1,405.0,2,1,185.0,2,0,2,0,0,2,2,0,0,32.0,2,1,0,2,2,2,27,0,22,18,951.0,1,0,2000,0,0,0,1,0,1,0,1,0
275000.0,13,85.0,5,1,0,1,0,2,1,2011.0,2,1,2,2,0,2,3,2,2,2,0,200.0,1,2.0,1,405.0,2,2,209.0,1,0,2,0,0,2,2,0,0,32.0,2,1,0,2,2,2,11,0,11,18,800.0,1,0,2000,0,0,1,1,0,1,0,1,1
239000.0,13,106.0,4,1,0,1,0,2,1,1992.0,2,0,2,2,0,2,3,2,2,2,0,200.0,1,14.0,1,405.0,2,1,120.0,1,0,2,1,0,2,2,0,0,32.0,2,1,0,2,2,2,11,0,22,18,1212.0,1,0,2060,0,0,0,1,1,1,0,1,0
144000.0,1,32.0,4,1,0,1,0,2,1,1965.0,2,1,2,2,0,2,3,2,2,2,0,200.0,1,2.0,1,405.0,2,1,309.0,2,0,2,0,0,2,2,0,0,32.0,2,1,1,2,2,2,1,0,22,0,632.0,1,21,2018,0,0,0,1,0,1,0,1,0
